isin,pre5_to_exp_pct,exp_to_post10_pct
INE0ITO01014,-2.651515151515149,-18.783162362928895
INE0O7P01015,-10.26339691189827,-47.62145748987854
INE0P3N01018,37.045736282377504,9.640561771006894
INE0P7201019,-63.70269037847698,-1.005025125628134
INE0DN001027,109.72509606857818,9.537232793046746
INE0JO301016,-4.91094147582698,3.5456248327535356
INE423Y01016,0.4629629629629539,-4.147465437788012
INE338H01029,3.1549644293226153,0.20489755122439224
INE395N01027,-9.252088852659456,-3.77273748035033
INE0MIS01010,-2.197149643705476,12.143290831815424
INE024001021,-0.46189376443419583,4.076897580377858
INE0AE001013,-6.105144149236863,21.643588199879595
INE05CZ01011,-0.3493449781659441,4.469763365468893
INE0N2P01017,10.37198217801265,-4.262110401802488
INE682M01012,-8.252111760883697,-3.413597733711049
INE777K01022,-3.808471979764161,13.048148148148165
INE0OV601013,2.066976446082358,-7.959183673469394
INE08U801020,-9.417475728155345,9.932118613790642
INE07K301024,-12.469919054911394,13.071732066983245
INE903U01023,7.870682189935541,21.37186691642139
INE438K01021,-8.40431572969903,2.397189501963215
INE0JR601024,-7.844498438042358,4.218455743879468
INE880J01026,-3.6059057353776236,18.0559646539028
INE0KNT01012,-4.586480014735672,18.610038610038604
INE851I01011,-9.545454545454547,8.465403942790894
INE0JWS01017,-3.951757762381314,-2.2709056906224934
INE0INJ01017,-22.579617834394906,-7.8979843685725974
INE07U701015,5.362203831765111,-0.43038519474930537
INE0BZQ01011,-8.146821844225617,-4.385964912280704
INE0KBH01020,-6.467342486847172,-5.83070380024695
INE0N4G01012,-9.03584048460374,-7.019977802441724
INE0LMW01024,1.2802458071949907,1.0997345468335196
INE0NVI01020,-1.5991471215351827,-4.33369447453954
INE0J5401028,-10.627565982404697,6.510040687754293
INE0PLQ01011,8.612804878048784,-17.47368421052632
INE0PUC01020,37.971952535059316,-17.904612978889755
INE818W01011,-0.1474926253687281,1.9940915805022108
INE491J01022,-3.3678756476683946,0.08936550491509543
INE0PDJ01013,-4.809334092202611,-10.22421524663677
INE0N6U01018,-3.3064516129032273,20.85070892410341
INE202E01016,-7.945823927765239,1.3241785188818023
INE142M01025,-2.097989426799318,-1.3903652366172192
INE717W01049,-1.5337423312883458,-7.220084295400408
INE007N01010,-1.3523131672597888,0.5772005772005873
INE0PTR01012,24.952162265595092,40.16845329249617
INE00Y201027,-0.37148164023432795,0.8604617811558857
INE0RDR01012,-7.7170705535187345,-0.19379844961240345
INE0RDM01013,3.397275008963785,-4.941482444733413
INE0P9J01013,10.182291666666664,51.48900969038053
INE518X01015,13.749999999999996,-12.08791208791209
INE0Q5D01013,-3.7314551176382382,-8.795143212951428
INE0F3301020,7.116654438738079,-2.511415525114158
INE922K01024,6.267306627284452,16.38148180317902
INE616N01034,-0.7843820812271196,6.576481611618656
INE0QSK01017,-2.5588710363002587,-21.409876112371318
INE046W01019,-3.8077403245942554,5.840363400389359
INE843S01025,-5.277421195264587,0.06023189278723251
INE330T01021,-1.7194237038595017,7.549087796265597
INE0PEQ01016,-27.482447342026074,0.3872752420470249
INE220Q01020,-7.296058661778182,3.2232548942060513
INE0QZQ01019,-9.710487777402266,-6.437928883343746
INE02IJ01035,2.579079117044669,43.49626562153368
INE0DUT01020,-1.9645608628659605,7.121807465618857
INE0QD201012,6.1485227575192924,-2.1313941825476412
INE0QHG01026,-3.216135186699365,-14.362151506617849
INE0RNZ01014,-10.616400044747742,-14.977054651647881
INE0PCY01014,-13.95104895104895,-22.714343762698096
INE0RCG01017,17.66497461928933,-14.207650273224036
INE0Q2V01012,-10.57985757884028,3.1285551763367447
INE0RJH01010,-6.020066889632114,-12.04880528723945
INE0SDC01012,-13.522650439486139,-18.582225697159238
INE0RGM01016,-5.808536218815763,39.92820103709613
INE0QSB01016,-14.359532227359272,30.4699904731661
INE0S3D01016,-8.828971715569667,50.07248477819659
INE0TNX01015,13.985554826001302,43.43317972350231
INE673O01025,9.110033516365966,24.162609065063243
INE0S1L01013,4.157149383280023,9.459064327485379
INE0CFG01012,24.91566265060241,14.699074074074092
INE0SCB01016,-0.8225939128050364,-2.972076306331217
INE0SRI01019,26.46153846153847,-16.81873479318735
INE0QRV01016,12.295928910932009,29.131394920868626
INE0RRU01016,39.40066592674807,-15.804140127388532
INE03JT01014,-5.988286969253287,6.883662980844085
INE0TNW01017,24.06792174234036,-7.259744123772693
INE0R7301013,-5.82347588717016,26.269457863660772
INE108V01019,2.5252525252525304,20.96010818120351
INE0AZY01017,13.60376752649044,-3.6272847182965973
INE639X01027,-6.3863546211820665,3.7288135593220417
INE0ISZ01012,8.742138364779883,-8.23211875843456
INE0RUV01018,27.59715275105812,-16.667923105917826
INE0N2D01013,27.911680431484932,-20.96455395967849
